    x[mm]      y[mm]      z[mm]      beta[deg]
    5584.385    1568.647    -706.221       7.480
    5589.207    1569.967    -706.226       7.353
    5594.030    1571.287    -706.232       7.226
    5598.853    1572.607    -706.238       7.100
    5603.675    1573.928    -706.244       6.973
    5608.498    1575.248    -706.249       6.846
    5613.320    1576.568    -706.255       6.719
    5618.143    1577.888    -706.261       6.593
    5622.966    1579.208    -706.266       6.466
    5627.788    1580.528    -706.272       6.339
    5632.611    1581.848    -706.278       6.212
    5637.433    1583.168    -706.283       6.085
    5642.256    1584.488    -706.289       5.958
    5647.079    1585.808    -706.295       5.832
    5651.901    1587.128    -706.300       5.705
    5656.724    1588.448    -706.306       5.578
    5661.546    1589.768    -706.312       5.452
    5666.369    1591.088    -706.317       5.325
    5671.191    1592.409    -706.323       5.198
    5676.014    1593.729    -706.328       5.072
    5680.837    1595.049    -706.334       4.946
    5685.659    1596.369    -706.340       4.819
    5690.482    1597.689    -706.345       4.693
    5695.304    1599.009    -706.351       4.567
    5700.127    1600.329    -706.356       4.441
    5704.950    1601.649    -706.362       4.315
    5709.772    1602.969    -706.367       4.189
    5714.595    1604.289    -706.373       4.063
    5719.417    1605.609    -706.378       3.937
    5724.240    1606.929    -706.384       3.811
    5729.063    1608.249    -706.389       3.686
    5733.885    1609.569    -706.395       3.560
    5738.708    1610.889    -706.400       3.435
    5743.530    1612.209    -706.406       3.309
    5748.353    1613.530    -706.411       3.184
    5753.176    1614.850    -706.417       3.058
    5757.998    1616.170    -706.422       2.933
    5762.821    1617.490    -706.428       2.808
    5767.643    1618.810    -706.433       2.683
    5772.466    1620.130    -706.438       2.558
    5777.289    1621.450    -706.444       2.433
    5782.111    1622.770    -706.449       2.308
    5786.934    1624.090    -706.455       2.183
    5791.756    1625.410    -706.460       2.058
    5796.579    1626.730    -706.465       1.934
    5801.402    1628.050    -706.471       1.809
    5806.224    1629.370    -706.476       1.685
    5811.047    1630.690    -706.481       1.560
    5813.948    1631.484    -706.485       1.485
